atm_inventario_año;atm_inventario_grupo_cont;atm_inventario_sector;atm_inventario_sector_descripcion;atm_inventario_cont_desc;atm_inventario_cont_unidades;atm_inventario_cont_cantidad
2022;Metales pesados;1,0;Combustión en la producción y transformación de energía;Cr;kg;2.58
2022;Metales pesados;2,0;Plantas de combustión no industrial;Cr;kg;320.75
2022;Metales pesados;3,0;Plantas de combustión industrial;Cr;kg;135.67
2022;Metales pesados;4,0;Procesos industriales sin combustión;Cr;kg;23.51
2022;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Cr;kg;0.00
2022;Metales pesados;6,0;Uso de disolventes y otros productos;Cr;kg;0.01
2022;Metales pesados;7,0;Transporte por carretera;Cr;kg;536.83
2022;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Cr;kg;27.13
2022;Metales pesados;9,0;Tratamiento y eliminación de residuos;Cr;kg;17.17
2022;Metales pesados;10,0;Agricultura;Cr;kg;0.00
2022;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Cr;kg;0.00
2022;Metales pesados;1,0;Combustión en la producción y transformación de energía;Cu;kg;0.67
2022;Metales pesados;2,0;Plantas de combustión no industrial;Cu;kg;65.03
2022;Metales pesados;3,0;Plantas de combustión industrial;Cu;kg;42.10
2022;Metales pesados;4,0;Procesos industriales sin combustión;Cu;kg;4.48
2022;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Cu;kg;0.00
2022;Metales pesados;6,0;Uso de disolventes y otros productos;Cu;kg;49.04
2022;Metales pesados;7,0;Transporte por carretera;Cu;kg;13729.30
2022;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Cu;kg;112.05
2022;Metales pesados;9,0;Tratamiento y eliminación de residuos;Cu;kg;51.04
2022;Metales pesados;10,0;Agricultura;Cu;kg;0.00
2022;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Cu;kg;0.00
2022;Metales pesados;1,0;Combustión en la producción y transformación de energía;Hg;kg;0.14
2022;Metales pesados;2,0;Plantas de combustión no industrial;Hg;kg;12.76
2022;Metales pesados;3,0;Plantas de combustión industrial;Hg;kg;21.41
2022;Metales pesados;4,0;Procesos industriales sin combustión;Hg;kg;17.02
2022;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Hg;kg;0.00
2022;Metales pesados;6,0;Uso de disolventes y otros productos;Hg;kg;15.83
2022;Metales pesados;7,0;Transporte por carretera;Hg;kg;21.22
2022;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Hg;kg;4.59
2022;Metales pesados;9,0;Tratamiento y eliminación de residuos;Hg;kg;48.11
2022;Metales pesados;10,0;Agricultura;Hg;kg;0.00
2022;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Hg;kg;0.00
2022;Metales pesados;1,0;Combustión en la producción y transformación de energía;Ni;kg;0.23
2022;Metales pesados;2,0;Plantas de combustión no industrial;Ni;kg;2763.68
2022;Metales pesados;3,0;Plantas de combustión industrial;Ni;kg;189.70
2022;Metales pesados;4,0;Procesos industriales sin combustión;Ni;kg;91.80
2022;Metales pesados;5,0;Extracción y distribución de combustibles fósiles y energía geotérmica;Ni;kg;0.00
2022;Metales pesados;6,0;Uso de disolventes y otros productos;Ni;kg;24.39
2022;Metales pesados;7,0;Transporte por carretera;Ni;kg;289.74
2022;Metales pesados;8,0;Otros modos de transporte y maquinaria móvil;Ni;kg;4.07
2022;Metales pesados;9,0;Tratamiento y eliminación de residuos;Ni;kg;13.25
2022;Metales pesados;10,0;Agricultura;Ni;kg;0.00
2022;Metales pesados;11,0;Otras fuentes y sumideros (naturaleza);Ni;kg;0.00
2022;Metales pesados;1,0;Combustión en la producción y transformación de energía;Pb;kg;3.03
2022;Metales pesados;2,0;Plantas de combustión no industrial;Pb;kg;271.74
2022;Metales pesados;3,0;Plantas de combustión industrial;Pb;kg;164.39
2022;Metales pesados;4,0;Procesos industriales sin combustión;Pb;kg;335.86
